,subsr,asset_nm,ct_cl,genre_of_ct_cl,use_tms,SMRY,ACTR_DISP,disp_rtm,strt_dt,month,disp_rtm_s,asset_nm_new,date,day,hour,runningtime,weather,year
6286,61819000,하늘의 인연 100회(23/09/06),TV드라마,기타,415,"세나와 도현이 광고모델로 최종 선발되면서 회사 분위기가 술렁이기 시작하고, 데이빗과 윤솔은 복수를 위한 다음 프로젝트를 준비한다. 한편 화재 사건과 세나에 관한 루머는 점점 걷잡을 수 없이 퍼지기 시작하는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:28,20230907162106,9,1680,하늘의인연,2023-09-07,목,16,60분이하,맑음,
6287,61819000,하늘의 인연 100회(23/09/06),TV드라마,기타,1680,"세나와 도현이 광고모델로 최종 선발되면서 회사 분위기가 술렁이기 시작하고, 데이빗과 윤솔은 복수를 위한 다음 프로젝트를 준비한다. 한편 화재 사건과 세나에 관한 루머는 점점 걷잡을 수 없이 퍼지기 시작하는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:28,20230907153413,9,1680,하늘의인연,2023-09-07,목,15,60분이하,맑음,
6288,60955000,하늘의 인연 100회(23/09/06),TV드라마,기타,1680,"세나와 도현이 광고모델로 최종 선발되면서 회사 분위기가 술렁이기 시작하고, 데이빗과 윤솔은 복수를 위한 다음 프로젝트를 준비한다. 한편 화재 사건과 세나에 관한 루머는 점점 걷잡을 수 없이 퍼지기 시작하는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:28,20230907222924,9,1680,하늘의인연,2023-09-07,목,22,60분이하,맑음,
6289,65954000,하늘의 인연 100회(23/09/06),TV드라마,기타,1680,"세나와 도현이 광고모델로 최종 선발되면서 회사 분위기가 술렁이기 시작하고, 데이빗과 윤솔은 복수를 위한 다음 프로젝트를 준비한다. 한편 화재 사건과 세나에 관한 루머는 점점 걷잡을 수 없이 퍼지기 시작하는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:28,20230908002749,9,1680,하늘의인연,2023-09-08,금,0,60분이하,맑음,
6290,64984000,일지매 04회,TV드라마,기타,3900,"격투장, 시후와 겨루던 용이는 만신창이가 된 채로 바닥에 쓰러지고 만다. 이에 시후는 항복하라고 말하지만, 용이는 자신이 포기하면 아버지 쇠돌의 손목이 날아간다며 절대 항복할 수 없다고 말한다.","이준기,한효주,이영아,이문식",1:05,20230910123738,9,3900,일지매,2023-09-10,일,12,90분이하,흐림,
6291,64984000,일지매 04회,TV드라마,기타,3900,"격투장, 시후와 겨루던 용이는 만신창이가 된 채로 바닥에 쓰러지고 만다. 이에 시후는 항복하라고 말하지만, 용이는 자신이 포기하면 아버지 쇠돌의 손목이 날아간다며 절대 항복할 수 없다고 말한다.","이준기,한효주,이영아,이문식",1:05,20230910145028,9,3900,일지매,2023-09-10,일,14,90분이하,흐림,
6292,67055000,TV소설 은희 129회,TV드라마,기타,2140,"신문기사로 인해 서울호텔은 타격을 입게 되고, 석구는 금순에게 국회의원 출마를 허락받고 선거사무소 개소식을 하며 들뜨지만 정작 신의원은 개소식에 나타나지 않는데...","경수진,이인,최윤소,정민진",0:36,20230918122327,9,2160,TV소설은희,2023-09-18,월,12,60분이하,흐림,
6293,66875000,소방서 옆 경찰서 01회(22/11/12),TV드라마,기타,235,"한번 물면 놓지 않는 진돗개 형사 진호개! 첫 출근부터 코드 제로 납치 상황이 발생하고, 소방과 공동 작전을 수행한다. 과연 그들은 천 세대가 넘는 아파트에서 피해자를 구조하고, 납치범을 검거할 수 있을 것인가!","김래원,손호준,공승연",1:04,20230901144558,9,3840,소방서옆경찰서,2023-09-01,금,14,90분이하,맑음,
6294,66656000,소방서 옆 경찰서 01회(22/11/12),TV드라마,기타,694,"한번 물면 놓지 않는 진돗개 형사 진호개! 첫 출근부터 코드 제로 납치 상황이 발생하고, 소방과 공동 작전을 수행한다. 과연 그들은 천 세대가 넘는 아파트에서 피해자를 구조하고, 납치범을 검거할 수 있을 것인가!","김래원,손호준,공승연",1:04,20230906201401,9,3840,소방서옆경찰서,2023-09-06,수,20,90분이하,맑음,
6295,60955000,하늘의 인연 098회(23/09/04),TV드라마,기타,1740,"세나의 무례한 행동에 분노한 진우는 세나를 쌀쌀맞게 내쫓고, 도현은 상처 입은 세나를 위로해 준다. 한편 도현은 자신의 사무실에 전달된 의문의 자료를 보고 충격을 받는데...","이훈,조은숙,심이영,김유석,고은미,정한용",0:29,20230904225109,9,1740,하늘의인연,2023-09-04,월,22,60분이하,비,
6296,64720000,낭만닥터 김사부3 15회(23/06/16),TV드라마,기타,709,대형 산불로 인한 부상자들이 순식간에 밀려 들어오지만 정작 치료를 할 의료진이 없는 외상 센터. 통제불능의 상태를 어떻게 돌파해나갈 것인가!,"한석규,안효섭,이성경",1:12,20230924221310,9,4320,낭만닥터김사부3,2023-09-24,일,22,90분이하,맑음,
6297,64720000,낭만닥터 김사부3 15회(23/06/16),TV드라마,기타,1812,대형 산불로 인한 부상자들이 순식간에 밀려 들어오지만 정작 치료를 할 의료진이 없는 외상 센터. 통제불능의 상태를 어떻게 돌파해나갈 것인가!,"한석규,안효섭,이성경",1:12,20230926001857,9,4320,낭만닥터김사부3,2023-09-26,화,0,90분이하,비,
