,subsr,SMRY
78,64495000,"응답하라 733 - 1993년 목포 여객기 추락 사고. 1993년 7월, 목포에 있는 할머니 댁에 놀러 갈 생각에 잔뜩 들뜬 신나라, 신준영 남매. 비행기 여행이 쉽지 않았던 시절, 어린 남매는 한껏 들떠 아시아나 733편에 올랐다. 하지만 그때만 해도 몰랐다. 어떤 비극이 찾아올지..."
79,64536000,"응답하라 733 - 1993년 목포 여객기 추락 사고. 1993년 7월, 목포에 있는 할머니 댁에 놀러 갈 생각에 잔뜩 들뜬 신나라, 신준영 남매. 비행기 여행이 쉽지 않았던 시절, 어린 남매는 한껏 들떠 아시아나 733편에 올랐다. 하지만 그때만 해도 몰랐다. 어떤 비극이 찾아올지..."
80,64495000,"응답하라 733 - 1993년 목포 여객기 추락 사고. 1993년 7월, 목포에 있는 할머니 댁에 놀러 갈 생각에 잔뜩 들뜬 신나라, 신준영 남매. 비행기 여행이 쉽지 않았던 시절, 어린 남매는 한껏 들떠 아시아나 733편에 올랐다. 하지만 그때만 해도 몰랐다. 어떤 비극이 찾아올지..."
81,62421000,"[나는 기억한다, 14년 전 범인을] 화장실 안에 사람이 죽었어요... 흉기로 수차례 공격한 흔적. 현장에서 발견된 범인의 피 묻은 지문! 지문이 묻은 문을 통째로 감정 의뢰를 맡겼지만 특정조차 못한 범인의 실체! 사건 발생 12년 후에 지문의 주인을 밝힌 과학수사!"
82,65941000,"첫 번째 실화 악마들의 일진 놀이. 블랙박스에 담긴 한 영상이 불러온 충격적인 사건. 지독해도 엄청 지독했던, 벗어나기 힘든 그 남자의 위험한 놀이."
83,62701000,"첫 번째 실화 악마들의 일진 놀이. 블랙박스에 담긴 한 영상이 불러온 충격적인 사건. 지독해도 엄청 지독했던, 벗어나기 힘든 그 남자의 위험한 놀이."
84,66163000,본 회차는 방송사의 사정으로 줄거리를 제공하지 않습니다.
85,65696000,[아기가 아니라 신체의 일부를 죽였어요 - 서래 마을 영아 살해 사건] 2006년 7월 23일 발생한 충격적인 사건! 냉동고의 비닐봉지를 열어보는 순간 발견된 아기 시신... 한 명이 아니다? 2구의 아기 시신을 발견! 아기들의 부모를 알 수 없다!
86,61619000,네 살배기 목격자와 애기 아저씨. 1996년 8월 23일 새벽. 서울 용산 소방서에 화재 신고가 접수됐다. 불이 난 곳은 다세대주택 3층. 구조대가 불길을 뚫고 집 안에 진입해서 발을 내딛는 그 순간! 조그마한 고사리손이 구조 대원의 다리를 꽉 붙잡았다.
87,64495000,살인범의 매니큐어. 2004년 경기도 포천시. 산기슭 도로변 배수로에서 시신 한 구가 발견된다. 옷을 하나도 걸치지 않은 채 잔뜩 웅크린 여자의 시신. 얼굴은 알아볼 수 없을 만큼 참혹하게 훼손돼있었다. 사건을 맡은 포천경찰서 강력1반 채경환 형사는 한 아이를 떠올렸다.
88,64495000,살인범의 매니큐어. 2004년 경기도 포천시. 산기슭 도로변 배수로에서 시신 한 구가 발견된다. 옷을 하나도 걸치지 않은 채 잔뜩 웅크린 여자의 시신. 얼굴은 알아볼 수 없을 만큼 참혹하게 훼손돼있었다. 사건을 맡은 포천경찰서 강력1반 채경환 형사는 한 아이를 떠올렸다.
89,66163000,아내의 끊이지 않는 남편에 대한 의심. 남편이 일하는 중에도 집착과 의심은 계속되는데... 창피하다 느끼는 아내 VS 아내를 딸처럼 키워야 하는 남편. MC들을 눈물짓게 만든 이번 부부의 사연은?
90,65941000,"[한일부부, 우리는 쓰시마에 산다 5부] 날씨 때문에 결항된 배로 인해 갑작스럽게 다시 쓰시마로 가게 되는 부부. 용철의 가족들은 아쉬운 마음을 감추지 못한다. 쓰시마에 온 부부는 평소와 같이 한국어 수업도 하며 한국 요리 교실을 위한 목공 판도 만든다."
91,66353000,"[호주 대자연의 초대 - 윌선스 프로몬토리 국립공원] 세계에서 가장 큰 섬이자, 가장 작은 대륙인 호주. 경이로운 자연과 다양한 문화가 살아 숨 쉬는 광활한 대자연의 품으로 산림교육전문가 이상은 씨가 떠난다."
92,64385000,"[산골 소녀 진경, 내 사랑 깔리] 강원도 홍천군의 산골짜기에 그림으로 세상을 담아내는 화가 이진경 씨(57)가 살고 있다. 어느 날, 진경 씨에게 생각지도 못한 인연이 찾아왔다. 바로 반려견 깔리. 평생 홀로살이를 택했다는 진경 씨는 어떤 계기로 깔리와 가족이 되었을까?"
93,64385000,"[산골 소녀 진경, 내 사랑 깔리] 강원도 홍천군의 산골짜기에 그림으로 세상을 담아내는 화가 이진경 씨(57)가 살고 있다. 어느 날, 진경 씨에게 생각지도 못한 인연이 찾아왔다. 바로 반려견 깔리. 평생 홀로살이를 택했다는 진경 씨는 어떤 계기로 깔리와 가족이 되었을까?"
94,64659000,"[최종 핵병기, 전략핵잠수함의 실체는?] 문근식 교수 편."
95,60593000,"외톨이가 보낸 소포 - 버지니아 공대 총기난사. 2007년 4월 15일, 미국의 한 대학교 캠퍼스는 축제로 인해 열기가 뜨거웠다. 승우 씨와 규민 씨도 축제를 즐기고 집에 갈 채비를 하려던 그때, 누군가 다급히 와서 건물에 문제가 생겼으니 나가지 말고 대기하라는 말을 전했다."
96,67055000,"외톨이가 보낸 소포 - 버지니아 공대 총기난사. 2007년 4월 15일, 미국의 한 대학교 캠퍼스는 축제로 인해 열기가 뜨거웠다. 승우 씨와 규민 씨도 축제를 즐기고 집에 갈 채비를 하려던 그때, 누군가 다급히 와서 건물에 문제가 생겼으니 나가지 말고 대기하라는 말을 전했다."
